Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue/cell_type,histological_subtype
SRR13755461,Hi-C,300,112509750300,PRJNA703392,SAMN18016408,35477695848,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX10142232,GSM5098062,Illumina NovaSeq 6000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2022-05-07T00:00:00Z,2021-02-20T21:22:00Z,1,GSM5098062,human mammary epithelial cell,SRP307249,Primary Mammary Epithelial Cell,
SRR13755462,Hi-C,300,117551584800,PRJNA703392,SAMN18016407,37817860670,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX10142233,GSM5098063,Illumina NovaSeq 6000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2022-05-07T00:00:00Z,2021-02-20T23:22:00Z,1,GSM5098063,human mammary epithelial cell,SRP307249,Primary Mammary Epithelial Cell,
SRR13755463,Hi-C,300,131142832200,PRJNA703392,SAMN18016406,41932981527,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10142234,GSM5098064,Illumina NovaSeq 6000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2022-05-07T00:00:00Z,2021-02-20T21:59:00Z,1,GSM5098064,Luminal A cell,SRP307249,Luminal A,
SRR13755464,Hi-C,300,126149001600,PRJNA703392,SAMN18016405,40182396254,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX10142235,GSM5098065,Illumina NovaSeq 6000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2022-05-07T00:00:00Z,2021-02-20T20:49:00Z,1,GSM5098065,Luminal A cell,SRP307249,Luminal A,
SRR13755465,Hi-C,300,125956380900,PRJNA703392,SAMN18016404,40217689740,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX10142236,GSM5098066,Illumina NovaSeq 6000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2022-05-07T00:00:00Z,2021-02-20T21:11:00Z,1,GSM5098066,Luminal B cell,SRP307249,Luminal B,
SRR13755466,Hi-C,300,130118067300,PRJNA703392,SAMN18016403,42049792239,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX10142237,GSM5098067,Illumina NovaSeq 6000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2022-05-07T00:00:00Z,2021-02-20T21:24:00Z,1,GSM5098067,Luminal B cell,SRP307249,Luminal B,
SRR13755467,Hi-C,300,133819122000,PRJNA703392,SAMN18016402,42526258587,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX10142238,GSM5098068,Illumina NovaSeq 6000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2022-05-07T00:00:00Z,2021-02-20T23:44:00Z,1,GSM5098068,Her2+ cell,SRP307249,Her2 positive,
SRR13755468,Hi-C,300,132451207800,PRJNA703392,SAMN18016401,42242959268,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX10142239,GSM5098069,Illumina NovaSeq 6000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2022-05-07T00:00:00Z,2021-02-20T23:03:00Z,1,GSM5098069,Her2+ cell,SRP307249,Her2 positive,
SRR13755469,Hi-C,300,133206340800,PRJNA703392,SAMN18016419,42371675455,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX10142240,GSM5098070,Illumina NovaSeq 6000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2022-05-07T00:00:00Z,2021-02-20T21:47:00Z,1,GSM5098070,Triple negative breast cancer A cell,SRP307249,Triple negative breast cancer A,
SRR13755470,Hi-C,300,127680696600,PRJNA703392,SAMN18016418,41183611480,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX10142241,GSM5098071,Illumina NovaSeq 6000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2022-05-07T00:00:00Z,2021-02-20T21:26:00Z,1,GSM5098071,Triple negative breast cancer A cell,SRP307249,Triple negative breast cancer A,
